"I dreamt that a man convinced me to rob an ancient stone age tomb. It was a secret mission organised by Yale University palaeontology department. We were to take shovels and pickaxes, and make our way to a special place near the Massachusetts border. There was a sacred stone there, that was shaped like a giant lizard. We were to pretend that we were simply doing a survey of the site, but secretly excavate it. We followed a creek, and then as we walked up a hill to the tomb. I had a magic map which showed the location of people around us. I checked it, and saw that two men were running up behind us. They were part of a local law enforcement vigilante group, that protected the site. They had heads like pterodactyls. They put handcuffs on us, and told me “You’re going to need a lawyer, son”.","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",9
"I dreamt it was a post-apocalyptic world. A mysterious poison wind had swept over America, destroying everything and making houses crumble. I was living in Florida, working for a small company that wove old electrical wires into clothes so people could keep their children warm. We would go into the offices of old ISPs, and strip the cables from the modems and servers. The local chieftain paid us in money shaped like catfish. Standing on top of an office block with a handful of wires, I see another storm coming. There’s hundreds of us up there, looking out at the dark sky streaked with neon clouds. Through the clouds we see the rain and lightning approaching from the distance.","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",9
"As I was approaching the door of my house in Boulder, I was suddenly approached by two police officers. “Is your name Ahab?” they asked. “Yes”, I answered. “You’re wanted for murder”, they told me. I was shocked, as I didn’t remember committing a crime. “We received a phone call”, they said. “Someone saw you wearing a Proud Boys shirt strangling an African American man on the street. When he resisted, you shot him up with ketamine and took him away in an ambulance”. I had no memory of this. I went to jail, although many people organised a demonstration outside on the street, shouting that I was innocent. ","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",9
"I was back at my alma mater in Uttar Pradesh, near the Taj Mahal. The Black Death had recently gone through the town, resulting in thousands of casualties. The government had decreed that even though there were only three people left alive in my local government area, we should return to our studies. Narendra Modi had testified personally that it was not the Black Death, but in fact just the common cold. They say we should have enough natural killer cells in our immune system to fight it off now. My relatives all agreed with this stance. I picked up my exercise books and went and sat at my old desk in front of the blackboard. It was then that I started to feel a stomach ache and a sore throat. ","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",9
"I'm on a mission to look for bison, which are apparently now extinct. I'm driving along an American road, commenting how there is so much farming these days, the landscape is totally altered. Dad is there. We have a conversation about integrating Wikipedia into an app so we can show bison and megafauna related information. I point out how flat and continuous the ground is, all the trees are sparse, even the houses are on stilts. Nothing interrupts the shining green rolling lawns in all directions, bathed in the late afternoon light. Dad likes this. We get out and I’m sliding down a hill on frangipani leaf. Others are on skateboards and things, but I just step onto the leaf, slide a little, hit a jump and take off into the sky in slow motion. The melody of Joni Mitchell's “Big Yellow Taxi” plays in my head. ","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",4
"I'm in a shopping mall. A huge plane flies overhead, silhouetted against the dark clouds, and I know the enemy have arrived. It might be impossible, but I’ll try to resist them. I have a little old antique fighter plane in a long sports bag about 4m long that I drag through the mall, somehow avoiding suspicion. Before I know it I’m outside and it’s assembled. I just need to find a patch of road long enough without overhead powerlines to take off. I take off somehow in my imagination, and feel the powerlines spring against me, knowing if this was real my plane would be destroyed. I find a patch of road around the Newtown shops that might be OK. I hide a bunch of jackets and baggage to make myself lighter, but decide to still take my grey duffel coat. If I’m going to do this, I’ll do it in style. The full retro fighter look.","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",4
"Driving with mum and my sister. Mum wants to stop and buy something, the shop is at the back of a stone mall in Colorado. I’m driving up a narrow one-way section of road next to it when a police car comes the other way. I’d already been arguing with mum about my driving style, and I decide to mount the kerb to let the police car go past (even though I’m going the right direction on the road and it’s not). Mum also thinks this was the wrong choice, and the argument actually makes me miss the turnoff to the shop and I go up a little side road on a little green hill accidentally. Some news item comes onto the car radio about a young female teacher in an African country, who’s become the new president. In my mind's see her celebrating, wearing colourful robes and a tall colourful fabric hat or head wrapping . I mean to comment to mum, isn’t it good that she’s a teacher. ","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",4
"I go to a cafe somewhere in the city. I’m a bit worried about COVID, but everyone seems unconcerned. I’m sitting with a guy, and his dad comes over and starts talking . I think they might be the cafe owners. I realise after a second it’s Japanese, and say “Nihongo wakarimasuyo “ or something like that. They acknowledge this but keep on talking. Later I order a coffee, to be delivered to another branch of the cafe. There are 3 cafes all owned by the same people, this is a University area like around Sydney UNiversity. I say I’ll be out the front of this other cafe. But when I get there, there’s a live band setting up there. It’s probably about 3 or 4pm, near cafe closing time. I go to the front of the third cafe, where theres a couple of seats in a little courtyard with a Mediterranean vibe . Someone has left some clothes here, but I figure there are two tables, so there should be enough room for me even if they come back. ","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",4
"I'm sitting on the beach with my laptop. I see a huge wave coming towards me. It's as tall as a house, maybe two storeys. I start running backwards up the beach. I think I’ll just have to swim, and let my laptop get wet. But when wave the comes, I’m just able to hold my laptop high above the water. I leave the beach and get in my car. I have to go to a hospital, mum is getting treatment for something at a clinic in the city. I go along. It’s in a big anonymous looking building in the middle of parkland. It's strangely quiet and empty. I go inside and get into the elevator. When I come out, I’m somehow outside again. There’s a queen sitting in a field being chastised by her mother for her cruelty. I look at her and I smile. My smile says that I can forgive her what she’s done. She smiles back, and in that moment I realise I will probably be made king. 
","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",1
"I feel something inside my mouth, and realise that one of my front teeth is missing. I go and inspect it in the mirror. Most of the tooth is gone, it's loose inside my mouth. I spit it out and look at it in my hand, and see that it's made from wood. It's finely carved and hollow, with fine wooden struts inside. I realise that most of my teeth are made from wood, and am worried that they all might break off.  I leave the bathroom. There is a big family living in the house, they’re all wearing bright robes and red hats, and they're sitting everywhere. At some point I'm back at Penrith High School. I'm in one of the old drama rooms, which is empty. I have a big keyboard with a red light on it, that's making an alarm noise I can't turn off. Maybe it's my real alarm, because around this time I wake up. ","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",1
"I’m donating 24 million dollars to a charity. I am vaguely regretting this, but it turns out my girlfriend somehow got 8 billion dollars in a kind of transfer error, so that’s where I got the money from. I reason that the money I donated was a small fraction of the total money we have, so donating it was the right thing to do. Later I’m trying to ride my bicycle through an industrial business as a shortcut to get to the pub. I get all the way to the back, but I’m surrounded by this weird undulating shiny surface, as if someone had covered a huge field in linoleum, obviously there’s no exit to anywhere I want to go. I take a photo of the weird light effects this surface creates, all these glowing people with sunglasses, then hurriedly return to the front. I think it’s some kind of Area 51. When I look later at the photos I’ve taken, I notice something like a UFO in the background. It's shaped like a football, and about the size of a car. ","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",1
"Walking on the street towards the underground station in London, I notice some cute hedgehogs living in a stormwater drain in the gutter. I take some photos for Sally, and the hedgehogs even snuggle up to me like like dogs. But I drop my phone and smash the screen on the road, and instantly regret the whole operation. Later I'm in a snowy backyard, I wake up and see the snow from my window. I'm in the mountains. Again I want to take a photo for Sally, but I go back to sleep and when I wake up the snow is melted. But anyway I take a photo with some big red apples that are strewn over the ground. They’ve been chewed by cockatoos, but I find one that still looks OK and pose it so it looks perfect. Sally comes and we go into town to the coffee shop. I order a flat white, but when I go to drink it the coffee unfurls itself and I see that it's not coffee, but a hedgehog. ","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",1
"I find myself in locked in a police cell with 2 other men. It feels like we're in sort of basement. I ask them what they're in for, one says he is in for vandalism, the other says trespassing. I tell them I was arrested for a traffic violation and brought here to await sentencing. I tell the guard who is stood outside the cell that I would like to speak to my attorney and he says that he'll need to get permission from his superior.  He walks off up some stairs. When he is out of sight, and we can no longer hear his footsteps, the vandal calls me over to the bench where he is sat, he slides the bench away from the wall to reveal a hole that he's been digging.  He shows me a map detailing an escape route that goes through a protected nature reserve and ends at a nearby river. He tells me that he's been working on this for 3 weeks now but could do with some help because he doesn't know when he will get released.  He has a weird accent, like he's from Boston or somewhere in New England. He hands me a tool and asks me if I'm in. I agree, crawl into the hole which reveals a long tunnel carved into the underground rock. It's dark and dingy but there is light provided by a few electric torches on the sides of the tunnel.  I can make out the shapes of fossils and what I think are dinosaur bones. I'm amazed at how much work has gone into excavating the tunnel and I wonder how he has managed to carry the debris out unnoticed.","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",8
"I'm somewhere in the Deep South - Louisiana or Mississippi, probably New Orleans - outside a town hall at a press conference or a municipal meeting or something.  The town hall looks badly damaged. I'm worried about my brother, I haven't seen him 2 weeks and I'm hoping he's safe.  I try to call him but my phone is out of battery. There are thousands of people - young, old, families and military personnel crammed outside the building to hear the government official address the crowd.  There is a sense of panic and commotion and the town looks devastated.  It feels like the aftermath of a large hurricane like Katrina and people are struggling to recover. I can't hear what the official is saying above the din of all the people so I push through the crowd to get closer. She mentions that millions of makeshift homes will be opened to those most in need.  An small, oldish, gentleman pipes up and asks ""What support is available for business owners? My insurance company is refusing to pay out!"", he looks powerless, distraught and deflated.","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",9
"I'm in a courtroom as part of a grand jury, I'm listening intently to the prosecution present their case.  3 police officers are standing in the dock, they are charged with the manslaughter of an innocent black man by the name of John Baptiste.  The prosecutor is detailing what happened on the day that John died in Wednesday 11 September 2019. I think to myself that it's weird he died on 9/11 and that it's taken over 2 years to get to this stage. He holds up a sketch of the street where the police approached him to do a stop and search.  He goes on to describe how John politely refused to cooperate because the police could not state the law he had broken.  After a brief scuffle, one of the officers, David Arora, restrained John using an illegal chokehold to restrain John whilst the other 2 officers helped to pin him down. He was kept in this position for more than 30 mins and when paramedics arrived they couldn't resuscitate him. The description of the events makes me anxious, as the only person of colour in the jury, I'm familiar with what John had to deal with that day. I wish I'd brought my Valium.  The scene changes and I can see people outside the courthouse protesting, they're holding placards that read ""Justice for John""","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",7
"Another highschool dream: Miss Mackenly is teaching us about the Spanish flu. She is explains how despite the strict containment measures put in place, relaxed attitudes during Thanksgiving led to a resurgence in cases and infections rising. She mentions how the third wave of 1919  killed hundreds of thousands of people and ground life to a halt. I think to myself how traumatic it must have been if you'd been there in person to witness it. I'm sat next to India Allen, my first crush. I glance over at her and she's playing with her hair, giving me all the signs that she fancies me. She draws my attention under the table, I can see that she has her legs partially open, she grabs my hand and places it on her thigh and guides it gradually up her inside leg slowly. I'm nervous and apprehensive in case the teacher notices. I look up at India and she's wide-eyed and biting her lip, she nods as if to give me the green light when suddenly Miss Mackenly shouts ""Jakobus September! This is a place for learning not flirting! Stop what you're doing now or your parents will hear about it at parents' evening!"". All the other students break into ferocious laughter. I feel sick and embarrassed.","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",7
"So I had a dream that I lived in a Truman Show kind of reality. I was an archaelogist from Massachusetts and married to someone who looked like my old attorney Polly. In this reality we lived in a huge colonial style home that was somewhere in like a New England environment. Things I remember: hatching some pterodactyl eggs and releasing them into the wild. I remember being carried down the road in a wheelbarrow and seeing my next door neighbour, Paul, driving a firetruck. It was so weird.","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",4
"So, in the dream, I was living at my old house in Mississippi. And I heard my sister's voice, so I went looking for her. I found her, but now when she spoke I couldn't hear her.  I could see her lips moving but I couldn't hear what she was saying.  I'm struggling to read her lips and I am getting frustrated. I am shouting at her, telling her that she needs to speak up but I don't think she can hear me. As I approach her, she starts to levitate and spin around in the air. The spinning gets faster and faster and I start to get really worried and confused. I head to the door to look for help, it's raining and I see this creature outside that's small and hairy but has a face that resembles Joe Biden's waiting outside menacingly, the street lights are flickering. I wake up quite confused.","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",4
"I'm in an elevator with this weird man.  I think he's an plain clothes police officer.  He starts asking me questions like where have I lived for the past 18 months and if I have any affiliations to Elijah Muhammad.  It all seems a bit sketchy and he has his hands behind his back and he's holding something - it looks like a needle.  I tell him I haven't got a clue what he's on about and that I'm new to the area, saying that I only moved here last Wednesday. He tells me that I remind him of someone he once met in Denver that has since died.  When the lift door opens, I charge out of there with haste and start running as fast as I can, it's at this point I wake up, my heart is racing!","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",4
